29,24
58,20
16,56
55,14
61,15
7,53
58,4
2,62
11,16
40,40
20,33
8,20
63,60
54,9
64,5
28,12
49,5
38,6
5,16
10,55
58,11
62,18
16,17
63,6
25,5
1,32
30,17
61,54
26,59
6,4
25,62
12,59
18,10
19,9
29,33
44,34
5,63
35,59
5,20
55,25
32,49
18,60
22,13
42,32
3,60
32,39
29,44
41,14
43,18
39,9
39,40
35,57
26,15
26,56
34,59
10,26
20,54
27,31
29,9
51,48
33,22
63,56
25,17
64,42
5,11
6,21
46,40
64,2
32,31
17,17
10,49
42,47
2,8
41,7
7,11
31,17
16,62
55,61
60,28
10,44
6,53
24,30
33,32
58,8
61,14
11,44
44,59
53,50
63,45
39,54
31,60
7,19
29,51
59,44
30,41
12,51
10,30
5,18
61,16
16,54
14,20
1,26
18,55
1,49
56,14
59,26
42,35
19,40
45,36
51,51
47,64
38,1
47,18
42,18
17,9
31,4
32,45
62,63
45,43
44,29
33,12
41,49
10,32
34,9
41,25
62,56
44,23
61,20
52,64
15,44
27,12
39,52
51,61
16,30
63,7
54,4
48,48
22,44
58,31
8,45
50,8
40,46
14,33
19,48
32,46
6,35
35,18
22,39
28,32
34,39
18,25
14,64
60,13
39,31
48,62
62,4
16,38
17,60
61,23
8,56
63,10
33,40
45,52
11,47
8,23
11,34
49,63
44,2
2,36
58,45
3,14
25,46
42,26
34,36
9,44
46,54
34,38
38,17
39,19
47,12
53,14
55,38
33,15
61,49
8,57
41,38
43,7
44,45
45,19
18,2
36,54
3,45
15,13
53,9
63,16
51,56
29,35
45,14
13,58
63,12
60,47
6,49
53,63
50,52
32,50
6,36
17,1
35,45
33,57
50,55
3,50
33,61
28,18
59,3
64,39
17,39
51,19
20,11
5,1
7,50
17,40
13,18
9,45
12,40
38,39
14,55
39,42
62,61
11,1
27,7
26,23
58,36
56,44
7,55
25,28
17,41
47,16
31,13
25,23
19,49
62,11
16,4
51,59
3,1
57,26
22,42
42,25
38,55
31,16
23,34
22,32
44,47
36,34
8,36
33,28
22,50
51,27
31,64
23,30
37,53
36,10
45,53
57,25
63,32
6,64
37,21
45,6
0,14
36,63
38,58
29,12
31,17
20,2
26,59
47,15
17,39
39,7
38,6
33,43
5,22
15,26
60,61
32,60
11,5
59,49
63,24
62,30
41,18
33,4
14,16
19,31
55,58
38,29
0,7
8,5
29,24
31,25
21,0
21,32
5,17
18,4
41,16
35,19
34,4
23,48
20,42
15,11
36,54
41,36
61,49
41,27
9,9
52,30
9,10
63,14
27,17
18,4
33,53
23,3
57,46
52,13
24,3
25,60
57,2
32,55
51,10
18,61
19,6
27,28
16,26
42,43
43,60
48,12
50,7
16,43
54,4
57,14
7,18
11,1
20,43
56,7
53,10
4,8
16,32
36,33
58,14
12,38
11,60
50,61
4,2
40,58
6,33
8,14
51,19
15,7
63,7
15,52
17,19
61,33
51,33
2,46
48,15
20,59
11,6
56,15
9,32
9,15
2,18
29,53
37,44
61,36
51,12
25,4
31,22
38,19
55,40
1,39
55,21
34,3
27,26
18,36
59,28
52,61
46,17
50,19
62,47
56,49
59,17
54,27
39,28
46,30
4,47
6,60
4,40
63,31
3,17
4,62
45,56
59,27
9,45
47,7
29,39
57,24
56,47
51,31
11,33
61,15
16,3
11,20
44,10
52,47
28,56
45,9
48,40
37,57
21,20
1,50
59,58
11,51
41,62
18,52
32,15
3,48
19,15
5,63
25,57
46,53
49,27
63,33
3,36
26,24
56,27
11,51
21,22
38,62
20,56
50,52
7,54
37,26
5,42
25,30
35,7
20,20
34,19
53,37
55,15
62,47
43,9
34,0
31,8
63,51
0,49
40,7
39,13
34,44
55,59
11,26
3,31
46,37
50,35
11,41
50,9
24,29
18,58
30,49
2,29
36,2
14,12
9,54
25,43
34,16
39,45
42,42
12,24
15,62
59,26
39,46
35,63
11,53
57,41
38,59
6,11
61,21
23,7
11,49
50,45
1,25
27,44
3,39
4,19
38,0
45,13
46,17
13,57
6,6
35,45
2,41
56,63
62,15
6,9
0,57
55,2
18,18
46,22
57,50
41,31
50,22
45,32
39,58
26,46
0,61
27,2
38,19
2,37
34,8
46,35
1,37
37,20
55,19
42,49
5,19
16,56
41,61
24,17
55,50
63,56
47,26
58,22
45,60
59,15
5,41
50,6
15,23
26,6
42,4
55,48
23,8
40,1
5,0
18,61
51,17
53,34
43,47
56,24
44,51
39,49
29,26
55,44
49,18
50,28
22,42
12,46
50,52
47,55
52,1
52,39
18,41
10,61
25,2
21,5
54,60
54,19
22,45
63,8
63,49
36,22
27,48
4,13
36,51
5,24
52,57
0,6
35,10
3,60
12,24
1,2
20,55
21,43
36,20
51,36
6,23
58,33
7,62
47,43
49,52
3,37
45,3
43,16
13,46
12,26
6,13
28,26
4,50
5,41
6,56
13,12
15,7
46,22
5,29
1,54
17,5
27,62
8,6
15,22
52,27
48,58
41,12
20,45
62,26
22,5
18,35
17,34
42,63
56,47
28,58
37,45
63,0
44,7
6,59
29,58
22,13
52,63
26,9
45,24
35,3
29,53
39,47
23,17
46,16
1,11
10,38
56,9
39,36
16,45
31,46
40,54
59,28
53,21
37,34
46,8
38,11
62,13
58,21
30,41
37,31
52,47
6,44
56,45
17,9
26,48
55,2
38,50
31,28
8,4
62,54
13,36
1,11
49,60
32,16
37,6
47,25
53,53
5,46
34,22
55,61
7,46
63,45
32,30
9,40
35,8
30,48
44,32
59,30
28,27
46,1
33,29
26,23
19,31
5,53
54,60
50,61
42,50
42,10
16,52
51,51
60,17
35,40
49,30
6,13
58,52
14,27
18,40
50,37
8,55
26,62
51,13
59,29
63,37
40,15
25,27
3,21
44,38
62,30
5,4
43,63
57,58
26,11
34,13
48,42
4,10
40,56
23,35
21,22
9,61
38,34
24,41
56,5
15,54
35,20
58,14
19,51
8,46
62,43
59,46
21,63
57,62
55,16
33,13
39,42
10,13
13,35
54,5
40,5
59,11
26,53
25,45
41,34
27,39
13,22
22,34
22,15
32,13
31,2
26,6
44,37
19,57
8,9
62,48
15,57
59,41
47,20
22,24
54,50
63,3
8,21
38,30
36,6
44,4
8,6
10,53
43,30
46,51
39,45
35,54
38,30
31,21
